IRIS_ID	SUBPOPULATION
IRIS_313-10572	indx
IRIS_313-10573	ind2
IRIS_313-10574	indx
IRIS_313-10575	indx
IRIS_313-10576	ind2
IRIS_313-10577	trop
IRIS_313-10578	trop
IRIS_313-10580	trop
IRIS_313-10581	trop
IRIS_313-10582	trop
IRIS_313-10583	temp
IRIS_313-10585	admix
IRIS_313-10587	aus
IRIS_313-10592	aus
IRIS_313-10593	aus
IRIS_313-10594	aus
IRIS_313-10595	aus
IRIS_313-10598	aus
IRIS_313-10600	aus
IRIS_313-10602	aus
IRIS_313-10603	aus
IRIS_313-10604	aus
IRIS_313-10605	aus
IRIS_313-10606	aus
IRIS_313-10608	aus
IRIS_313-10609	indx
IRIS_313-10610	ind2
IRIS_313-10614	indx
IRIS_313-10617	temp
IRIS_313-10618	temp
IRIS_313-10619	trop
IRIS_313-10620	trop
IRIS_313-10623	aus
IRIS_313-10628	ind2
IRIS_313-10631	temp
IRIS_313-10640	ind2
IRIS_313-10642	temp
IRIS_313-10644	trop
IRIS_313-10645	trop
IRIS_313-10648	ind3
IRIS_313-10649	trop
IRIS_313-10650	ind3
IRIS_313-10651	indx
IRIS_313-10652	ind3
IRIS_313-10653	subtrop
IRIS_313-10654	ind3
IRIS_313-10655	indx
IRIS_313-10656	subtrop
IRIS_313-10657	subtrop
IRIS_313-10659	ind3
IRIS_313-10660	subtrop
IRIS_313-10661	ind2
IRIS_313-10662	ind2
IRIS_313-10664	ind2
IRIS_313-10666	indx
IRIS_313-10667	ind2
IRIS_313-10668	indx
IRIS_313-10670	aro
IRIS_313-10671	indx
IRIS_313-10673	aus
IRIS_313-10674	indx
IRIS_313-10675	indx
IRIS_313-10676	admix
IRIS_313-10677	temp
IRIS_313-10678	ind2
IRIS_313-10679	subtrop
IRIS_313-10680	ind3
IRIS_313-10681	ind3
IRIS_313-10682	ind3
IRIS_313-10683	ind3
IRIS_313-10684	ind3
IRIS_313-10687	ind3
IRIS_313-10688	ind3
IRIS_313-10689	trop
IRIS_313-10690	ind3
IRIS_313-10692	ind3
IRIS_313-10693	trop
IRIS_313-10694	ind3
IRIS_313-10695	ind3
IRIS_313-10697	ind3
IRIS_313-10698	ind3
IRIS_313-10699	ind3
IRIS_313-10700	ind3
IRIS_313-10701	ind3
IRIS_313-10702	ind3
IRIS_313-10703	trop
IRIS_313-10704	trop
IRIS_313-10705	indx
IRIS_313-10706	ind3
IRIS_313-10707	ind3
IRIS_313-10708	trop
IRIS_313-10710	trop
IRIS_313-10711	trop
IRIS_313-10712	trop
IRIS_313-10715	ind2
IRIS_313-10716	ind2
IRIS_313-10717	ind2
IRIS_313-10718	aus
IRIS_313-10719	ind2
IRIS_313-10720	indx
IRIS_313-10721	ind2
IRIS_313-10722	trop
IRIS_313-10723	ind2
IRIS_313-10724	ind3
IRIS_313-10725	indx
IRIS_313-10726	ind3
IRIS_313-10727	ind3
IRIS_313-10728	indx
IRIS_313-10729	admix
IRIS_313-10730	trop
IRIS_313-10731	ind1A
IRIS_313-10732	aro
IRIS_313-10733	indx
IRIS_313-10734	aus
IRIS_313-10735	aus
IRIS_313-10736	aus
IRIS_313-10737	aus
IRIS_313-10738	admix
IRIS_313-10739	indx
IRIS_313-10740	trop
IRIS_313-10741	trop
IRIS_313-10742	ind3
IRIS_313-10743	trop
IRIS_313-10744	trop
IRIS_313-10745	trop
IRIS_313-10746	trop
IRIS_313-10747	trop
IRIS_313-10748	indx
IRIS_313-10749	ind3
IRIS_313-10750	ind3
IRIS_313-10751	indx
IRIS_313-10752	trop
IRIS_313-10753	ind1B
IRIS_313-10754	indx
IRIS_313-10755	ind3
IRIS_313-10756	ind2
IRIS_313-10757	ind3
IRIS_313-10758	trop
IRIS_313-10759	trop
