X.Phenotype.,GRYLD,subpopulation
IC0290196 ,3.7,yq
IC0290297 ,4.83,zz
IC0401928 ,5.85,xx
IC0401936 ,5.67,yy
IC0401942 ,6.02,zz
IC0128155 ,5.27,xx
IC0144920 ,3.28,xx
IC0443766 ,5.61,yy
IC0393877 ,3.32,zz
IC0415058 ,3.82,xx
IC0437081 ,3.52,yq
IC0443723 ,4.21,yq
IC0443726 ,3.81,yy
IC0443727 ,4.05,yy
IC0443731 ,5.93,xx
IC0443747 ,4.64,zz
IC0443756 ,4.64,yy
IC0443762 ,5.14,zz
IC0443950 ,5.5,xx
IC0528119 ,4.9,zz
IC531006,4.86,yq
IC0443719 ,3.98,zz
IC0128199 ,6.26,xx
IC0296301 ,4.07,yy
IC128438,4.68,zz
IC0073211 ,2.25,xx
IC0128229 ,4.4,xx
IC0128243 ,6.38,yy
IC0128244 ,6.06,zz
IC0420925 ,5.7,xx
IC0420926 ,5.65,yq
IC0445595 ,5.6,zz
IC0410028 ,4.98,yq
IC531037,6.81,zz
IC0547563 ,7.03,xx
IC0075428 ,5.98,zz
IC0561180 ,4.45,yq
IC0565811 ,4.25,yy
IC0566545 ,4.9,yy
IC0566546 ,5.76,xx
IC0436072 ,3.68,zz
IC0470825 ,3.64,yy
IC0524293 ,4.98,zz
IC0524294 ,6.53,xx
IC0524301 ,3.8,zz
IC0524303 ,3.81,yq
IC0524307 ,4.74,zz
IC0586642 ,6.82,xx
IC0587019 ,1.58,yy
IC0590886 ,4.65,zz
IC0595426 ,5.76,xx
IC0596504 ,6.64,xx
IC0598226 ,7.21,yy
IC0610815 ,4.94,zz
IC531183,5.39,xx
IC0614819 ,4.72,yq
IC0616288 ,4.87,yq
IC128620,5.96,yy
IC531275,6.61,yy
IC531336,6.55,xx
IC128640,5.99,zz
IC531381,6.02,yy
IC531471,7.22,zz
IC531524,5.93,xx
IC531790,5.42,zz
IC128654,6.2,yq
IC531849,7.13,zz
IC531860,6.51,xx
IC531950,5.15,yy
IC531961,3.57,zz
IC531998,6.02,xx
IC532019,5.5,xx
IC532662,4.01,yy
IC532672,4.14,zz
IC138379,4.9,xx
IC533733,4.98,yq
IC533725,4.41,yq
IC138419,5.68,yy
IC138426,5.32,yy
IC534950,6.88,xx
IC138428,4.09,zz
IC534943,5.78,yy
IC534992,6.91,zz
IC534989,7.1,xx
IC534953,7.62,zz
IC138589,6.25,yq
IC535552,6.64,zz
IC535509,7.36,xx
IC535427,6.8,yy
IC138595,6.48,zz
IC535601,6.82,xx
IC138600,8.73,xx
IC138610,7.26,yy
IC536316,8.33,zz
IC138614,6.5,xx
IC539184,9.09,yq
IC138637,8.56,yq
IC536488,6.5,yy
IC536323,7.88,yy
IC539314,5.86,xx
IC539305,6.41,zz
IC539531,6.2,yy
IC539486,5.89,zz
IC539428,6.15,xx
IC539427,5.46,zz
IC539410,7.08,yq
IC539409,7.41,zz
IC542063,5.01,xx
IC145954,4.85,yy
IC542051,5.32,zz
IC541983,5.28,xx
IC539593,2.12,xx
IC542076,5.38,yy
IC542068,4.55,zz
IC212065,5.74,xx
IC543327,4.6,yq
IC543280,3.93,yq
IC547634,3.9,yy
IC547631,5.39,yy
IC547630,6.29,xx
IC547650,4.17,zz
