X.Phenotype.,GRYLD
IC252349,5.08
IC554661,4.27
IC252369,2.86
IC573852,4.07
IC573850,4.9
IC566634,3.39
IC75217,3.74
IC73199,4.65
IC252387,5.21
IC584159,5.97
IC583383,5.36
IC582710,4.48
IC534929,4.71
IC574388,4.34
IC78703,5.03
IC75242,4.88
IC401927,6.22
IC290186,5.73
IC82425A,5.17
IC309875,4.68
IC29002,4.47
IC29020,5.37
IC28584,3.6
IC28872,3.56
IC28526,3.52
IC252796A,3.36
IC533610,3.7
IC252429,6.18
IC252440,5.49
IC252786,5.2
IC252469,5.49
IC240797,5.82
IC145522,7.24
IC28029,6.5
EC339606,4.65
EC339617,6.39
EC463384,5.62
EC483002,4.02
EC534421,4.53
IC252563,5.13
EC534451,5.2
EC552125,4.97
EC554964,4.5
EC556473,5.73
IC252587,4.83
EC556476,5.45
EC556485,4.93
EC582356,4.28
EC609338,6.03
IC252644,5.52
EC609557,5.5
EC6903,3.69
IC252651,5.77
EC573974,6.35
EC574914,5.84
EC187159,5.4
EC313755,5.93
EC574037,5.58
EC576792,5.58
IC252668,5.57
EC577738,6.36
EC21058,5.88
EC576578,6.35
EC464070,6.21
EC313710,5.68
IC252431,6.5
IC252434,5.13
IC252886,5.64
IC279230,5.08
IC28614,6.16
IC296767,6.37
