"Trial","Genotype ","Replication","TN","RN","ARP","RL","Category"
"2nd Expt","MG106",2,7,219,25.48,613.028,"aa"
"2nd Expt","MG106",3,8,214,20.03,639.937,"aa"
"2nd Expt","MG109",3,7,137,32.57,630.557,"aa"
"2nd Expt","MG109",2,7,145,17.34,355.601,"aa"
"2nd Expt","MG109",1,7,162,19.28,461.633,"aa"
"2nd Expt","MG110",2,9,146,31.87,941.58,"aa"
"2nd Expt","MG110",1,10,161,36.24,815.184,"aa"
"2nd Expt","MG110",3,10,181,34.45,776.127,"aa"
"2nd Expt","MG114",2,9,151,33.95,942.191,"aa"
"2nd Expt","MG114",1,9,158,32.34,981.852,"aa"
"2nd Expt","MG114",3,10,171,33.97,946.028,"aa"
"2nd Expt","MG115",1,7,162,30.86,777.787,"aa"
"2nd Expt","MG115",3,7,172,31.79,903.102,"aa"
"2nd Expt","MG115",2,8,188,37.68,726.225,"aa"
"2nd Expt","MG119",1,8,268,32.74,826.159,"aa"
"2nd Expt","MG119",2,9,272,36.96,751.192,"aa"
"2nd Expt","MG119",3,9,286,34.7,1095.318,"aa"
"2nd Expt","MG120",2,5,252,32.46,868.232,"zz"
"2nd Expt","MG120",1,8,163,23.63,539.495,"zz"
"2nd Expt","MG120",3,12,170,26.47,471.566,"zz"
"2nd Expt","MG124",1,6,152,38.12,709.292,"zz"
"2nd Expt","MG124",3,6,162,33.28,713.821,"zz"
"2nd Expt","MG124",2,6,173,34.05,789.8,"zz"
"2nd Expt","MG130",1,7,220,31.01,978.642,"zz"
"2nd Expt","MG130",3,7,221,27.49,1042.351,"zz"
"2nd Expt","MG130",2,7,225,28.78,1130.144,"zz"
"2nd Expt","MG131",3,6,212,27.17,818.634,"zz"
"2nd Expt","MG131",1,8,277,28.72,1010.926,"zz"
"2nd Expt","MG131",2,8,282,28.59,848.222,"zz"
"2nd Expt","MG135",1,9,176,22.74,871.802,"zz"
"2nd Expt","MG135",2,9,180,23.38,922.933,"zz"
"2nd Expt","MG135",3,9,192,23.1,764.348,"zz"
"2nd Expt","MG139",2,7,196,29.31,774.649,"zz"
"2nd Expt","MG139",1,8,207,30.68,879.874,"zz"
"2nd Expt","MG139",3,9,235,30.1,850.86,"zz"
"2nd Expt","MG140",3,7,142,25.69,1066.445,"zz"
"2nd Expt","MG140",1,8,163,28.78,1018.896,"zz"
"2nd Expt","MG140",2,8,179,24.34,899.521,"zz"
"2nd Expt","MG141",3,7,210,31.34,1040.99,"zz"
"2nd Expt","MG141",2,8,223,38.11,1056.188,"zz"
"2nd Expt","MG141",1,9,161,35.69,1032.464,"zz"
"2nd Expt","MG145",2,7,142,29.11,811.444,"zz"
